sublocation;location_id;category_id;id;description
Edificio Mario Santo Domingo ;1;1;1;
Zona de Estudiantes 2 ( Bambú 1);2;3;2;
Puerta 11;3;4;3;
Zona de Estudiantes 1 ( Bambú 2);4;3;4;
Bloque L - Edificio Julio Muvdi;5;1;5;
Departamento de Arquitectura y Urbanismo;5;5;6;
Departamento de Diseño;5;5;7;
Departamento de Ingeniería Eléctrica y Electrónica;5;5;8;
Departamento de Física y Geociencias;5;5;9;
Departamento de Ingeniería de Sistemas y Computación;5;5;10;
Laboratorio 6;5;6;11;
Bloque C;6;1;12;
Departamento de Derecho;6;5;13;
Departamento de Ciencia Política y Relaciones Internacionales;6;5;14;
Bloque J;7;1;15;
Departamento de Matemáticas y Estadística;7;5;16;
Sala Conder;7;7;17;
Bloque B;8;1;18;
División Derecho, Ciencia Política y Relaciones Internacionales;8;9;19;
Departamento de Lenguas Extranjeras;8;5;20;
Departamento de Humanidades y Filosofía;8;5;21;
Departamento de Educación;8;5;22;
Dirección de Tecnología Informática y de Comunicaciones;8;8;23;
Observatorio de Educación del Caribe Colombiano;8;6;24;
Salón de Proyecciones;8;7;25;
Edificio de Ciencias de la Salud;9;1;26;
Laboratorio 4;9;6;27;
Centro Médico ;9;8;28;
División Ciencias de la Salud;9;9;29;
Departamento de Medicina;9;5;30;
Departamento de Enfermería;9;5;31;
Departamento de Salud pública;9;5;32;
Departamento de Odontología;9;5;33;
Bloque A;10;1;34;
Oficina Financiamiento Estudiantil;10;8;35;
Departamento de Relaciones Internacionales;10;5;36;
Decanatura División Ciencias Básicas;10;9;37;
Dirección de Servicios Administrativos;10;8;38;
Dirección de Gestión Humana;10;8;39;
Secretaría Académica;10;8;40;
Oficina de Planeación;10;8;41;
Oficina de Interventoría;10;8;42;
Oficina Bienestar Organizacional;10;8;43;
Edificio Administrativo II;11;1;44;
Oficina del Egresado;11;8;45;
Oficina Jurídica;11;8;46;
Dirección de Mercadeo;11;8;47;
Dirección de Comunicaciones y Relaciones Públicas;11;8;48;
Dirección de Gestión y Desarrollo Académico;11;8;49;
Dirección de Alianzas y Relaciones Corporativas;11;8;50;
Dirección Administrativa de Posgrados;11;8;51;
Oficinas de Gestión de Calidad;11;8;52;
Dirección de Gestión y Relaciones Públicas Internacionales;11;8;53;
Laboratorio 5;12;6;54;
Licenciatura en Pedagogía Infantil;12;1;55;
Coordinación de Especializaciones en Ingenierías y Humanidades;12;8;56;
Sala amiga de la lactancia materna;12;7;57;
Puerta 1;13;4;58;
Edificio Administrativo I ( Casa Blanca );14;1;59;
Rectoría;14;8;60;
Vicerrectoría Académica;14;8;61;
Vicerrectoría Administrativa y Financiera;14;8;62;
Dirección de Planeación;14;8;63;
Secretaría General;14;8;64;
Dirección de Cooperación y Desarrollo Internacional;14;8;65;
Dirección de Calidad y Proyectos Académicos;14;8;66;
Dirección Financiera;14;8;67;
Dirección Auditoría General;14;8;68;
Puerta 2;15;4;69;
Laboratorio 1;16;6;70;
AIESEC;16;7;71;
Laboratorio 2;17;6;72;
Departamento de Química y Biología;17;5;73;
Laboratorio de Mercadeo;17;6;74;
Laboratorio 3;18;6;75;
Dirección Administrativa de Posgrado;18;8;76;
División de Derecho, Ciencia Política y Relaciones Internacionales;18;9;77;
Puerta 4;19;4;78;
Casa de Estudio Alfredo Correa De Andreis;20;2;79;
Biblioteca Karl C. Parrish Jr.;21;2;80;
Bloque D;22;1;81;
Instituto de Estudios en Educación - IESE;22;2;82;
Dirección de Especializaciones;22;8;83;
Oficina de Registro;22;8;84;
División de Humanidades y Ciencias Sociales:;22;9;85;
Departamento de Comunicación Social y Periodismo;22;5;86;
Departamento de Economía;22;5;87;
Departamento de Psicología;22;5;88;
Centro de Investigación en Desarrollo Humano - CIDHUM;22;2;89;
Emisora Uninorte FM Estéreo;22;8;90;
Bloque E;23;1;91;
Departamento de Música;23;5;92;
Bloque F;24;1;93;
Auditorio Marvel Moreno;24;7;94;
Departamento de Historia y Ciencias Sociales;24;5;95;
Editorial;24;8;96;
Dirección de Investigación, Desarrollo e Innovación - DIDI;24;8;97;
Centro de Consultoría y Servicios - CCS;24;8;98;
Dirección Unidades de Servicio y Logística Empresarial;24;8;99;
Restaurante 1.966;24;10;100;
La Crepería;24;10;101;
Du Nord Graphique;24;11;102;
Du Nord Plaza;25;10;103;
Du Nord Exprès;26;10;104;
Puerta 7;27;4;105;
Café du Nord;28;10;106;
Puerta 9;29;4;107;
Bloque M;30;1;108;
Laboratorio de Producción y Composición Musical;30;6;109;
Oficinas de Deportes y Asesoría;30;8;110;
Puerta 10              ;31;4;111;
Laboratorio Aula Viva;32;6;112;
Laboratorio de Arquitectura Tropical;33;6;113;
Oficina Univoluntarios;34;8;114;
Consejería Estudiantil - ACES;35;8;115;
Laboratorio de Energías Renovables;36;6;116;
Laboratorio de Petrografía;37;6;117;
Bloque G - Edificio de Postgrados;38;1;118;
Escuela de Negocios;38;9;119;
Dirección de Extensión;38;8;120;
Centro de Educación Continuada – CEC;38;2;121;
Oficina de Admisiones;38;8;122;
Departamento de Finanzas y Organizaciones;38;5;123;
Departamento de Mercadeo y Negocios Internacionales;38;5;124;
Centro de Emprendimiento;38;8;125;
Centro de Innovación y Desarrollo Sostenible del Gran Caribe;38;2;126;
Salones CEC;38;7;127;
Campos Deportivos Abiertos;39;11;128;
Cancha múltiple 1 cubierta;39;11;129;
Cancha de fútbol;39;11;130;
Cancha de tenis;39;11;131;
Cancha múltiple 2;39;11;132;
Cancha fútbol sintético;39;11;133;
El Contenedor;39;11;134;
Edificio de Ingenierías - Bloque K;40;1;135;
Centro de Recursos para el Éxito Estudiantil - CREE;40;8;136;
Centro para la Excelencia Docente – CEDU;40;2;137;
Oficinas ISA - International Studies Abroad;40;2;138;
Instituto para el Desarrollo Sostenible - IDS;40;2;139;
División de Ingenierías;40;9;140;
Departamento de Ingeniería Civil y Ambiental;40;5;141;
Departamento de Ingeniería Mecánica;40;5;142;
Departamento de Ingeniería Industrial;40;5;143;
Centro de Escritura - ECO;40;2;144;
Museo Mapuka;40;7;145;
Instituto de Estudios Hidráulicos y Ambientales - IDEHA;40;2;146;
Le Petit Café;40;10;147;
Instituto de Idiomas - Bloque I;41;1;148;
Dirección Instituto de Idiomas;41;8;149;
Departamento de Lenguas Extranjeras;41;5;150;
Aula Confucio;41;7;151;
Coliseo Cultural y Deportivo Los Fundadores;42;7;152;
Oficina de Bienestar Universitario;42;8;153;
Centro Cultural Cayena;42;2;154;
Salón de Música No. 1;42;7;155;
Du Nord Terrasse;42;10;156;
Gimnasio;42;11;157;
Salón de Danza;42;7;158;
La Esquina;43;10;159;
Du Nord Store;6;11;160;
Librería KM5;6;11;161;
